Appliance_CPU_Utilization,Appliance_Memory_Utilization,Bandwidth (MB/s),Block Size,Host1_CPU_Utilization,Host1_Memory_Utilization,Host2_CPU_Utilization,Host2_Memory_Utilization,IOPS,Queue Depth/Thread,Read Latency (us),Stat_End_Time,Stat_Start_Time,Test_Name,Threads,Time_date,Timestamp,Timestamp_ms,Type,Write %,Write Latency (us)
6.0,10.0,266.774,512,2.0,2.0,2.0,2.0,546362.36,256,954.7555129593,2018-05-07 12:33:03,2018-05-07 12:31:23,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:33:13 2018,2018-05-07 12:33:13,1525676593609,Seq,0,0.0
6.0,10.0,532.3760000000002,1024,2.0,2.0,2.0,2.0,545150.2,256,950.5186720995799,2018-05-07 12:35:14,2018-05-07 12:33:34,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:35:24 2018,2018-05-07 12:35:24,1525676724726,Seq,0,0.0
5.96,10.0,1066.7756,2048,2.0,2.0,2.0,2.0,546188.76,256,950.2661438302199,2018-05-07 12:37:25,2018-05-07 12:35:45,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:37:35 2018,2018-05-07 12:37:35,1525676855874,Seq,0,0.0
5.0,10.0,2274.782,4096,2.0,2.0,2.0,2.0,582344.16,256,954.00562948324,2018-05-07 12:39:37,2018-05-07 12:37:57,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:39:47 2018,2018-05-07 12:39:47,1525676987008,Seq,0,0.0
6.96,10.0,3999.6136,8192,2.0,2.0,2.0,2.0,511951.32,256,1037.6936892967801,2018-05-07 12:41:48,2018-05-07 12:40:08,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:41:58 2018,2018-05-07 12:41:58,1525677118124,Seq,0,0.0
6.96,10.0,7480.012,16384,2.0,2.0,2.0,2.0,478720.72,256,1107.7987727496002,2018-05-07 12:43:59,2018-05-07 12:42:19,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:44:09 2018,2018-05-07 12:44:09,1525677249247,Seq,0,0.0
6.0,10.0,10873.056,32768,1.0,2.0,1.0,2.0,347938.0,256,1645.0856637969998,2018-05-07 12:46:10,2018-05-07 12:44:30,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:46:20 2018,2018-05-07 12:46:20,1525677380383,Seq,0,0.0
4.0,10.0,10831.6716,65536,0.0,2.0,0.0,2.0,173306.80000000002,256,3052.2847948570006,2018-05-07 12:48:21,2018-05-07 12:46:41,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:48:31 2018,2018-05-07 12:48:31,1525677511518,Seq,0,0.0
3.0,10.0,10535.779999999999,131072,0.0,2.0,0.0,2.0,84285.56,256,6586.8015221602,2018-05-07 12:50:32,2018-05-07 12:48:52,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:50:42 2018,2018-05-07 12:50:42,1525677642656,Seq,0,0.0
44.0,10.0,1701.5824000000002,512,22.96,2.0,22.0,2.0,3484832.32,16,153.19908260798,2018-05-07 12:52:43,2018-05-07 12:51:03,Sustained Multi-Threaded Random Read Tests by Block Size,16,Mon May  7 12:52:53 2018,2018-05-07 12:52:53,1525677773790,Rand,0,0.0
