Appliance_CPU_Utilization,Appliance_Memory_Utilization,Bandwidth (MB/s),Block Size,Host1_CPU_Utilization,Host1_Memory_Utilization,Host2_CPU_Utilization,Host2_Memory_Utilization,IOPS,Queue Depth/Thread,Read Latency (us),Stat_End_Time,Stat_Start_Time,Test_Name,Threads,Time_date,Timestamp,Timestamp_ms,Type,Write %,Write Latency (us)
6,10,261.71000000000004,512,2,2,2.0,2.0,535996,256,955.267597342,2018-05-07 12:33:03,2018-05-07 12:31:23,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:33:13 2018,2018-05-07 12:33:13,1525676593609,Seq,0,0.0
6,10,530.96,1024,2,2,2.0,2.0,543705,256,941.5298949925,2018-05-07 12:35:14,2018-05-07 12:33:34,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:35:24 2018,2018-05-07 12:35:24,1525676724726,Seq,0,0.0
6,10,1056.79,2048,2,2,2.0,2.0,541073,256,946.1284647545001,2018-05-07 12:37:25,2018-05-07 12:35:45,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:37:35 2018,2018-05-07 12:37:35,1525676855874,Seq,0,0.0
5,10,2237.39,4096,2,2,2.0,2.0,572772,256,894.524254026,2018-05-07 12:39:37,2018-05-07 12:37:57,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:39:47 2018,2018-05-07 12:39:47,1525676987008,Seq,0,0.0
7,10,3894.74,8192,2,2,2.0,2.0,498526,256,1033.2308635995,2018-05-07 12:41:48,2018-05-07 12:40:08,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:41:58 2018,2018-05-07 12:41:58,1525677118124,Seq,0,0.0
7,10,7324.96,16384,2,2,2.0,2.0,468797,256,1092.06701921,2018-05-07 12:43:59,2018-05-07 12:42:19,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:44:09 2018,2018-05-07 12:44:09,1525677249247,Seq,0,0.0
6,10,10878.15,32768,1,2,1.0,2.0,348101,256,1470.4564635000002,2018-05-07 12:46:10,2018-05-07 12:44:30,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:46:20 2018,2018-05-07 12:46:20,1525677380383,Seq,0,0.0
4,10,10580.33,65536,0,2,0.0,2.0,169285,256,3024.719462335,2018-05-07 12:48:21,2018-05-07 12:46:41,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:48:31 2018,2018-05-07 12:48:31,1525677511518,Seq,0,0.0
3,10,10553.59,131072,0,2,0.0,2.0,84428,256,6066.50931303,2018-05-07 12:50:32,2018-05-07 12:48:52,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Mon May  7 12:50:42 2018,2018-05-07 12:50:42,1525677642656,Seq,0,0.0
44,10,1681.4499999999998,512,22,2,21.0,2.0,3443611,16,148.11753973050003,2018-05-07 12:52:43,2018-05-07 12:51:03,Sustained Multi-Threaded Random Read Tests by Block Size,16,Mon May  7 12:52:53 2018,2018-05-07 12:52:53,1525677773790,Rand,0,0.0
43,10,3329.25,1024,22,2,22.0,2.0,3409147,16,149.61055642550002,2018-05-07 12:54:54,2018-05-07 12:53:14,Sustained Multi-Threaded Random Read Tests by Block Size,16,Mon May  7 12:55:04 2018,2018-05-07 12:55:04,1525677904921,Rand,0,0.0
40,10,5262.16,2048,17,2,17.0,2.0,2694224,16,189.41866531649998,2018-05-07 12:57:06,2018-05-07 12:55:26,Sustained Multi-Threaded Random Read Tests by Block Size,16,Mon May  7 12:57:16 2018,2018-05-07 12:57:16,1525678036051,Rand,0,0.0
16,10,4185.23,4096,6,2,5.0,2.0,1071418,16,477.2805754965,2018-05-07 12:59:17,2018-05-07 12:57:37,Sustained Multi-Threaded Random Read Tests by Block Size,16,Mon May  7 12:59:27 2018,2018-05-07 12:59:27,1525678167180,Rand,0,0.0
12,10,4469.47,8192,3,2,3.0,2.0,572091,16,895.2916212519999,2018-05-07 13:01:28,2018-05-07 12:59:48,Sustained Multi-Threaded Random Read Tests by Block Size,16,Mon May  7 13:01:38 2018,2018-05-07 13:01:38,1525678298298,Rand,0,0.0
