Appliance_CPU_Utilization,Appliance_Memory_Utilization,Bandwidth (MB/s),Block Size,Host1_CPU_Utilization,Host1_Memory_Utilization,Host2_CPU_Utilization,Host2_Memory_Utilization,IOPS,Queue Depth/Thread,Read Latency (us),Stat_End_Time,Stat_Start_Time,Test_Name,Threads,Time_date,Timestamp,Timestamp_ms,Type,Write %,Write Latency (us)
6,10,266.78999999999996,512,2,2,2.0,2.0,546395,256,936.9067169795001,2018-05-09 09:35:59,2018-05-09 09:34:19,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 09:36:09 2018,2018-05-09 09:36:09,1525838769661,Seq,0,0.0
5,10,526.12,1024,2,2,2.0,2.0,538750,256,950.625917909,2018-05-09 09:38:10,2018-05-09 09:36:30,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 09:38:20 2018,2018-05-09 09:38:20,1525838900764,Seq,0,0.0
5,10,1054.71,2048,2,2,2.0,2.0,540011,256,947.9818700355,2018-05-09 09:40:21,2018-05-09 09:38:41,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 09:40:31 2018,2018-05-09 09:40:31,1525839031866,Seq,0,0.0
5,10,2094.95,4096,2,2,2.0,2.0,536309,256,954.5374257545,2018-05-09 09:42:33,2018-05-09 09:40:53,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 09:42:43 2018,2018-05-09 09:42:43,1525839163002,Seq,0,0.0
6,10,3877.47,8192,2,2,2.0,2.0,496316,256,1032.4961679159999,2018-05-09 09:44:44,2018-05-09 09:43:04,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 09:44:54 2018,2018-05-09 09:44:54,1525839294098,Seq,0,0.0
6,10,7486.0,16384,2,2,2.0,2.0,479104,256,1071.494431305,2018-05-09 09:46:55,2018-05-09 09:45:15,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 09:47:05 2018,2018-05-09 09:47:05,1525839425215,Seq,0,0.0
6,10,10750.8,32768,1,2,1.0,2.0,344026,256,1487.98424638,2018-05-09 09:49:06,2018-05-09 09:47:26,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 09:49:16 2018,2018-05-09 09:49:16,1525839556318,Seq,0,0.0
4,10,10750.35,65536,0,2,0.0,2.0,172006,256,2976.23823092,2018-05-09 09:51:17,2018-05-09 09:49:37,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 09:51:27 2018,2018-05-09 09:51:27,1525839687454,Seq,0,0.0
3,10,10042.04,131072,0,2,0.0,2.0,80337,256,6373.010841765,2018-05-09 09:53:28,2018-05-09 09:51:48,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Wed May  9 09:53:38 2018,2018-05-09 09:53:38,1525839818561,Seq,0,0.0
44,10,1696.3600000000001,512,22,2,22.0,2.0,3474160,16,146.833127803,2018-05-09 09:55:39,2018-05-09 09:53:59,Sustained Multi-Threaded Random Read Tests by Block Size,16,Wed May  9 09:55:49 2018,2018-05-09 09:55:49,1525839949694,Rand,0,0.0
43,10,3287.4700000000003,1024,22,2,21.0,2.0,3366363,16,151.508683878,2018-05-09 09:57:50,2018-05-09 09:56:10,Sustained Multi-Threaded Random Read Tests by Block Size,16,Wed May  9 09:58:00 2018,2018-05-09 09:58:00,1525840080796,Rand,0,0.0
39,10,5260.83,2048,18,2,17.0,2.0,2693543,16,189.45387760300002,2018-05-09 10:00:01,2018-05-09 09:58:21,Sustained Multi-Threaded Random Read Tests by Block Size,16,Wed May  9 10:00:11 2018,2018-05-09 10:00:11,1525840211911,Rand,0,0.0
16,10,4163.12,4096,6,2,6.0,2.0,1065756,16,479.71963672900006,2018-05-09 10:02:13,2018-05-09 10:00:33,Sustained Multi-Threaded Random Read Tests by Block Size,16,Wed May  9 10:02:23 2018,2018-05-09 10:02:23,1525840343038,Rand,0,0.0
