Appliance_CPU_Utilization,Appliance_Memory_Utilization,Bandwidth (MB/s),Block Size,Host1_CPU_Utilization,Host1_Memory_Utilization,Host2_CPU_Utilization,Host2_Memory_Utilization,IOPS,Queue Depth/Thread,Read Latency (us),Stat_End_Time,Stat_Start_Time,Test_Name,Threads,Time_date,Timestamp,Timestamp_ms,Type,Write %,Write Latency (us)
6,10,264.72,512,2,2,2.0,2.0,542153,256,944.525223327,2018-05-08 11:04:10,2018-05-08 11:02:30,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 11:04:20 2018,2018-05-08 11:04:20,1525757660036,Seq,0,0.0
6,10,528.85,1024,2,2,2.0,2.0,541537,256,945.382474328,2018-05-08 11:06:21,2018-05-08 11:04:41,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 11:06:31 2018,2018-05-08 11:06:31,1525757791161,Seq,0,0.0
6,10,1053.2,2048,2,2,2.0,2.0,539239,256,949.5368800735,2018-05-08 11:08:32,2018-05-08 11:06:52,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 11:08:42 2018,2018-05-08 11:08:42,1525757922271,Seq,0,0.0
4,10,2140.89,4096,2,2,2.0,2.0,548068,256,934.1660242015,2018-05-08 11:10:43,2018-05-08 11:09:03,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 11:10:53 2018,2018-05-08 11:10:53,1525758053387,Seq,0,0.0
7,10,3687.6800000000003,8192,2,2,2.0,2.0,472024,256,1084.3288684099998,2018-05-08 11:12:54,2018-05-08 11:11:14,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 11:13:04 2018,2018-05-08 11:13:04,1525758184550,Seq,0,0.0
7,10,7265.75,16384,2,2,2.0,2.0,465008,256,1100.83925796,2018-05-08 11:15:05,2018-05-08 11:13:25,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 11:15:15 2018,2018-05-08 11:15:15,1525758315613,Seq,0,0.0
6,10,10889.19,32768,1,2,1.0,2.0,348454,256,1468.9664747900001,2018-05-08 11:17:16,2018-05-08 11:15:36,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 11:17:26 2018,2018-05-08 11:17:26,1525758446742,Seq,0,0.0
4,10,10626.560000000001,65536,0,2,0.0,2.0,170025,256,3011.183938435,2018-05-08 11:19:27,2018-05-08 11:17:47,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 11:19:37 2018,2018-05-08 11:19:37,1525758577848,Seq,0,0.0
3,10,10350.04,131072,0,2,0.0,2.0,82800,256,6188.980062340001,2018-05-08 11:21:38,2018-05-08 11:19:58,Sustained Multi-Threaded Sequential Read Tests by Block Size,1,Tue May  8 11:21:48 2018,2018-05-08 11:21:48,1525758708970,Seq,0,0.0
44,10,1694.83,512,22,2,21.0,2.0,3471006,16,146.9280699955,2018-05-08 11:23:50,2018-05-08 11:22:10,Sustained Multi-Threaded Random Read Tests by Block Size,16,Tue May  8 11:24:00 2018,2018-05-08 11:24:00,1525758840115,Rand,0,0.0
44,10,3306.13,1024,21,2,21.0,2.0,3385480,16,150.674353787,2018-05-08 11:26:01,2018-05-08 11:24:21,Sustained Multi-Threaded Random Read Tests by Block Size,16,Tue May  8 11:26:11 2018,2018-05-08 11:26:11,1525758971235,Rand,0,0.0
40,10,5269.25,2048,17,2,16.0,2.0,2697854,16,189.1596244175,2018-05-08 11:28:12,2018-05-08 11:26:32,Sustained Multi-Threaded Random Read Tests by Block Size,16,Tue May  8 11:28:22 2018,2018-05-08 11:28:22,1525759102362,Rand,0,0.0
16,10,4118.24,4096,5,2,6.0,2.0,1054269,16,486.1001884435,2018-05-08 11:30:23,2018-05-08 11:28:43,Sustained Multi-Threaded Random Read Tests by Block Size,16,Tue May  8 11:30:33 2018,2018-05-08 11:30:33,1525759233497,Rand,0,0.0
12,10,4433.9,8192,3,2,3.0,2.0,567539,16,910.6815936935,2018-05-08 11:32:34,2018-05-08 11:30:54,Sustained Multi-Threaded Random Read Tests by Block Size,16,Tue May  8 11:32:44 2018,2018-05-08 11:32:44,1525759364621,Rand,0,0.0
8,10,4663.5599999999995,16384,2,2,1.0,2.0,298468,16,1715.0659446,2018-05-08 11:34:45,2018-05-08 11:33:05,Sustained Multi-Threaded Random Read Tests by Block Size,16,Tue May  8 11:34:55 2018,2018-05-08 11:34:55,1525759495718,Rand,0,0.0
5,10,4566.83,32768,1,2,1.0,2.0,146139,16,3505.41742759,2018-05-08 11:36:56,2018-05-08 11:35:16,Sustained Multi-Threaded Random Read Tests by Block Size,16,Tue May  8 11:37:06 2018,2018-05-08 11:37:06,1525759626859,Rand,0,0.0
3,10,4774.74,65536,1,2,1.0,2.0,76396,16,6699.13366512,2018-05-08 11:39:07,2018-05-08 11:37:27,Sustained Multi-Threaded Random Read Tests by Block Size,16,Tue May  8 11:39:17 2018,2018-05-08 11:39:17,1525759757998,Rand,0,0.0
2,10,4911.469999999999,131072,1,2,0.0,2.0,39292,16,13055.4499679,2018-05-08 11:41:19,2018-05-08 11:39:39,Sustained Multi-Threaded Random Read Tests by Block Size,16,Tue May  8 11:41:29 2018,2018-05-08 11:41:29,1525759889145,Rand,0,0.0
1,10,34.01,512,0,2,0.0,2.0,69652,1,0.0,2018-05-08 11:43:30,2018-05-08 11:41:50,Sequential Write Tests with Queue Depth=1 by Block Size,1,Tue May  8 11:43:40 2018,2018-05-08 11:43:40,1525760020210,Seq,100,28.3018050695
1,10,65.83,1024,0,2,0.0,2.0,67414,1,0.0,2018-05-08 11:45:41,2018-05-08 11:44:01,Sequential Write Tests with Queue Depth=1 by Block Size,1,Tue May  8 11:45:51 2018,2018-05-08 11:45:51,1525760151317,Seq,100,29.263879641499997
1,10,126.35,2048,0,2,0.0,2.0,64690,1,0.0,2018-05-08 11:47:52,2018-05-08 11:46:12,Sequential Write Tests with Queue Depth=1 by Block Size,1,Tue May  8 11:48:02 2018,2018-05-08 11:48:02,1525760282427,Seq,100,30.482757392
1,10,235.5,4096,0,2,0.0,2.0,60287,1,0.0,2018-05-08 11:50:03,2018-05-08 11:48:23,Sequential Write Tests with Queue Depth=1 by Block Size,1,Tue May  8 11:50:13 2018,2018-05-08 11:50:13,1525760413559,Seq,100,32.740499158
1,10,302.78999999999996,8192,0,2,0.0,2.0,38757,1,0.0,2018-05-08 11:52:14,2018-05-08 11:50:34,Sequential Write Tests with Queue Depth=1 by Block Size,1,Tue May  8 11:52:24 2018,2018-05-08 11:52:24,1525760544662,Seq,100,50.705858159
1,10,506.12,16384,0,2,0.0,2.0,32392,1,0.0,2018-05-08 11:54:25,2018-05-08 11:52:45,Sequential Write Tests with Queue Depth=1 by Block Size,1,Tue May  8 11:54:35 2018,2018-05-08 11:54:35,1525760675789,Seq,100,60.9540739145
1,10,777.85,32768,0,2,0.0,2.0,24891,1,0.0,2018-05-08 11:56:36,2018-05-08 11:54:56,Sequential Write Tests with Queue Depth=1 by Block Size,1,Tue May  8 11:56:46 2018,2018-05-08 11:56:46,1525760806885,Seq,100,79.5234972605
1,10,1156.0,65536,0,2,0.0,2.0,18496,1,0.0,2018-05-08 11:58:48,2018-05-08 11:57:08,Sequential Write Tests with Queue Depth=1 by Block Size,1,Tue May  8 11:58:58 2018,2018-05-08 11:58:58,1525760938002,Seq,100,107.243544598
1,10,1345.2800000000002,131072,0,2,0.0,2.0,10763,1,0.0,2018-05-08 12:00:59,2018-05-08 11:59:19,Sequential Write Tests with Queue Depth=1 by Block Size,1,Tue May  8 12:01:09 2018,2018-05-08 12:01:09,1525761069108,Seq,100,184.3740309725
1,10,177.55,4096,0,2,0.0,2.0,45453,1,52.0147922785,2018-05-08 12:03:10,2018-05-08 12:01:30,Sustained 4KB Random mixed 50% Write Tests by Threads,1,Tue May  8 12:03:20 2018,2018-05-08 12:03:20,1525761200210,Rand,50,34.7268501125
2,10,350.55,4096,0,2,0.0,2.0,89739,1,53.249072682999994,2018-05-08 12:05:21,2018-05-08 12:03:41,Sustained 4KB Random mixed 50% Write Tests by Threads,2,Tue May  8 12:05:31 2018,2018-05-08 12:05:31,1525761331340,Rand,50,34.9089160685
4,10,675.46,4096,0,2,0.0,2.0,172918,1,57.055356556,2018-05-08 12:07:32,2018-05-08 12:05:52,Sustained 4KB Random mixed 50% Write Tests by Threads,4,Tue May  8 12:07:42 2018,2018-05-08 12:07:42,1525761462464,Rand,50,34.37986613300001
7,10,1199.53,4096,1,2,1.0,2.0,307080,1,66.89114715400001,2018-05-08 12:09:43,2018-05-08 12:08:03,Sustained 4KB Random mixed 50% Write Tests by Threads,8,Tue May  8 12:09:53 2018,2018-05-08 12:09:53,1525761593623,Rand,50,36.188760219
10,10,2107.91,4096,3,2,3.0,2.0,539626,1,81.41220159,2018-05-08 12:11:54,2018-05-08 12:10:14,Sustained 4KB Random mixed 50% Write Tests by Threads,16,Tue May  8 12:12:04 2018,2018-05-08 12:12:04,1525761724740,Rand,50,35.8669851925
